timestamp	step	auc
1658773926117	0	0.8283104750616315
1658773926131	1	0.8308221964280078
1658773926141	2	0.831355224906457
1658773926151	3	0.8327842321759835
1658773926162	4	0.8338450289834235
1658773926172	5	0.8347261040177022
1658773926181	6	0.8355650978563137
1658773926190	7	0.8363655172655639
1658773926202	8	0.8361419609135827
1658773926213	9	0.8365671563281352
1658773926221	10	0.8379654793924878
1658773926230	11	0.8377620869467638
1658773926240	12	0.8383959349564986
1658773926250	13	0.8386694627283343
1658773926260	14	0.8376752944807005
1658773926269	15	0.8381609816140243
1658773926278	16	0.837400013325712
1658773926290	17	0.8374806689507405
1658773926299	18	0.8371966208799879
1658773926309	19	0.8372904268786624
1658773926319	20	0.8378611530948966
1658773926329	21	0.8376691576396658
1658773926334	22	0.8377910177687848
1658773926342	23	0.8372220449357034
1658773926353	24	0.837479792259164
1658773926363	25	0.837123855479147
1658773926372	26	0.8375490508936994
1658773926382	27	0.83749294263281
1658773926391	28	0.8384818507309855
1658773926400	29	0.8379233981968207
1658773926410	30	0.8376840613964645
1658773926422	31	0.8380812026805722
1658773926432	32	0.8374824223338933
1658773926442	33	0.8376183095282347
1658773926452	34	0.8379891500650505
1658773926462	35	0.8377822508530209
1658773926472	36	0.8379155079726331
1658773926480	37	0.8377866343109028
1658773926491	38	0.8377314027415899
1658773926499	39	0.8377489365731179
1658773926509	40	0.8372088945620575
1658773926518	41	0.8374105336246287
1658773926527	42	0.8373816028026076
1658773926538	43	0.8374394644466499
1658773926547	44	0.8371641832916613
1658773926557	45	0.837267632897676
1658773926569	46	0.8364347759000993
1658773926580	47	0.8364654601052731
1658773926590	48	0.8367144405129697
1658773926599	49	0.8367942194464218
